City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Kasamwa,TZ,2021-09-20 00:23:44,-2.85,32.4333,66.2,83,80,2.57
208,Lithakia,GR,2021-09-20 00:23:45,37.7167,20.8333,75.27,90,0,6.6
209,Talnakh,RU,2021-09-20 00:23:45,69.4865,88.3972,33.75,85,100,8.81
210,Puerto Del Rosario,ES,2021-09-20 00:23:45,28.5004,-13.8627,73.15,64,37,6.91
211,Yenagoa,NG,2021-09-20 00:23:45,4.9247,6.2642,75.22,95,75,3.02
212,Voyvozh,RU,2021-09-20 00:23:46,62.892,54.9635,32.31,82,82,9.42
213,Sao Francisco,BR,2021-09-20 00:23:15,-15.9486,-44.8644,79.81,29,17,3.56
214,Ponta Delgada,PT,2021-09-20 00:23:46,37.7333,-25.6667,68.72,68,75,4.61
215,Yarmouth,US,2021-09-20 00:23:46,41.7057,-70.2286,64.98,74,1,13.0
216,Luziania,BR,2021-09-20 00:23:46,-16.2525,-47.9503,78.49,24,44,3.36
217,Netivot,IL,2021-09-20 00:23:47,31.4222,34.5886,73.62,68,0,5.68
218,Havre-Saint-Pierre,CA,2021-09-20 00:23:47,50.2334,-63.5986,51.8,93,1,3.44
219,Sabla,NG,2021-09-20 00:23:47,12.7525,4.7077,78.3,73,31,6.38
220,Punta Gorda,US,2021-09-20 00:23:47,26.9298,-82.0454,83.01,86,75,0.0
221,Khandbari,NP,2021-09-20 00:23:47,27.3747,87.2039,70.29,89,75,2.37
222,Japura,ID,2021-09-20 00:23:48,-0.3167,102.35,73.15,89,79,0.51
223,Siwan,IN,2021-09-20 00:23:48,26.2167,84.3667,81.18,82,91,4.83
224,Buraydah,SA,2021-09-20 00:23:20,26.326,43.975,84.65,20,5,9.46
225,San Luis,AR,2021-09-20 00:22:33,-33.295,-66.3356,58.23,76,63,18.03
226,Cidreira,BR,2021-09-20 00:23:48,-30.1811,-50.2056,66.7,96,93,20.47
227,Tahta,EG,2021-09-20 00:23:49,26.7693,31.5021,83.28,26,2,5.53
228,Alta Floresta,BR,2021-09-20 00:23:49,-9.8756,-56.0861,79.83,35,4,2.44
229,Spring Hill,US,2021-09-20 00:22:05,28.4769,-82.5255,81.82,80,75,1.01
230,Valparaiso,CL,2021-09-20 00:22:00,-33.0393,-71.6273,56.84,67,40,3.44
231,Areosa,PT,2021-09-20 00:23:49,41.7178,-8.8571,63.68,89,25,16.15
232,Ibotirama,BR,2021-09-20 00:23:49,-12.1853,-43.2206,79.61,20,13,3.22
233,Gaujani,RO,2021-09-20 00:23:50,43.7333,25.7,52.48,53,17,5.82
234,Ndele,CF,2021-09-20 00:23:50,8.4109,20.6473,70.2,98,100,3.85
235,Anna Paulowna,NL,2021-09-20 00:23:50,52.862,4.834,58.08,81,75,11.01
236,Nanortalik,GL,2021-09-20 00:23:50,60.1432,-45.2371,36.9,91,49,11.03
237,Jalu,LY,2021-09-20 00:23:51,29.0331,21.5482,83.75,26,0,9.31
238,Carutapera,BR,2021-09-20 00:23:51,-1.195,-46.02,77.07,81,96,6.29
239,Sao Miguel Do Araguaia,BR,2021-09-20 00:23:51,-13.275,-50.1628,85.64,17,8,2.21
240,Keita,NE,2021-09-20 00:23:51,14.7551,5.7749,80.6,48,2,5.93
241,Luanda,AO,2021-09-20 00:23:06,-8.8368,13.2343,71.83,88,100,10.47
242,Puerto Madryn,AR,2021-09-20 00:23:52,-42.7692,-65.0385,53.67,53,51,6.87
243,Pasaje,EC,2021-09-20 00:23:52,-3.3333,-79.8167,73.58,85,54,2.59
244,Asosa,ET,2021-09-20 00:23:52,10.0667,34.5333,59.29,95,44,3.69
245,Jacareacanga,BR,2021-09-20 00:23:52,-6.2222,-57.7528,78.35,68,81,1.81
246,Bathsheba,BB,2021-09-20 00:23:53,13.2167,-59.5167,79.41,78,20,0.0
