City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Tondi,IN,83.43,overcast clouds,9.7333,79.0167,Star Lodge
576,Eydhafushi,MV,82.62,overcast clouds,5.1033,73.0708,Soneva Fushi
577,Eravur,LK,81.99,overcast clouds,7.7733,81.6095,Farhan KING House
580,Nara,JP,79.92,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
581,Lar,IN,79.99,broken clouds,26.2039,83.9717,Ovaiskarni ward Lar
588,Minab,IR,78.3,clear sky,27.1467,57.0801,Bam campground
590,Saint Pete Beach,US,82.17,clear sky,27.7253,-82.7412,Sirata Beach Resort
595,Ndioum,SN,85.62,overcast clouds,16.5129,-14.6471,l'hôtel samassa
596,Sayville,US,77.02,heavy intensity rain,40.7359,-73.0821,La Quinta Inn & Suites by Wyndham Islip - MacArthur Airport
599,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
603,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
604,Marsaxlokk,MT,75.07,few clouds,35.8419,14.5431,Water's Edge
606,Carutapera,BR,79.72,scattered clouds,-1.195,-46.02,Lidera
610,Belem,BR,77.04,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
614,Bajos De Haina,DO,83.32,overcast clouds,18.4154,-70.0332,Familia García Santana
616,Narasannapeta,IN,81.18,overcast clouds,18.4167,84.05,G.lingaraju home
617,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
622,Mirador,BR,83.32,broken clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
626,Warah,PK,86.34,few clouds,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
632,Susangerd,IR,85.78,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
633,Misratah,LY,77.45,broken clouds,32.3754,15.0925,فندق الماسة
635,Kadoma,JP,80.6,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
641,Karaton,ID,86.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
647,Brasileia,BR,83.77,broken clouds,-11.0161,-68.7481,Pousada Tobias
651,Malindi,KE,75.87,few clouds,-3.2175,40.1191,African House Resort
653,Manali,IN,82.49,moderate rain,13.1667,80.2667,Sarathy Lodge
660,Ambikapur,IN,75.27,scattered clouds,23.1167,83.2,STARiHOTEL Ambikapur
665,Biabou,VC,82.49,clear sky,13.2,-61.1333,Spring Garden Resort
672,Eyl,SO,77.68,overcast clouds,7.9803,49.8164,Amiin Hotel
679,Muscat,OM,86.02,overcast clouds,23.6139,58.5922,Mutrah Hotel
682,Nizwa,OM,81.95,overcast clouds,22.9333,57.5333,Orient Apartments
683,Sehwan,PK,84.02,few clouds,26.4279,67.863,Lal Shahbaz Motel STDC
689,Mecca,SA,84.02,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
691,Sanchor,IN,81.52,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
692,Bhatkal,IN,77.43,overcast clouds,13.9667,74.5667,Nilawar Palace
701,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
